Analytical,RK2,LeapFrog
-2.65264e-23,-5.31587e-21,3.98229e-22
1.53848e-22,-5.45416e-21,2.95101e-22
2.44436e-22,-1.7397e-21,1.06617e-23
1.9237e-22,3.55837e-21,-2.80328e-22
2.80358e-23,6.83433e-21,-3.99083e-22
-1.5266e-22,5.57544e-21,-2.72639e-22
-2.44263e-22,2.45979e-22,2.13158e-23
-1.93312e-22,-5.76078e-21,3.02174e-22
-2.95441e-23,-8.2513e-21,3.97375e-22
1.51466e-22,-5.12851e-21,2.48427e-22
2.4408e-22,1.92397e-21,-5.31564e-23
1.94248e-22,8.27835e-21,-3.2208e-22
3.10513e-23,9.36489e-21,-3.93116e-22
-1.50267e-22,3.91634e-21,-2.22619e-22
-2.43888e-22,-4.82223e-21,8.46558e-23
-1.95176e-22,-1.09676e-20,3.39918e-22
-3.25573e-23,-9.91932e-21,3.86332e-22
1.49062e-22,-1.74152e-21,1.95382e-22
2.43687e-22,8.44241e-21,-1.15612e-22
1.96096e-22,1.36036e-20,-3.55573e-22
3.40621e-23,9.60996e-21,-3.77069e-22
-1.47851e-22,-1.57193e-21,-1.66891e-22
-2.43477e-22,-1.26949e-20,1.45825e-22
-1.97009e-22,-1.58698e-20,3.68946e-22
-3.55655e-23,-8.09606e-21,3.65384e-22
1.46634e-22,6.14961e-21,1.37329e-22
2.43257e-22,1.7381e-20,-1.75102e-22
1.97914e-22,1.7353e-20,-3.7995e-22
3.70676e-23,5.02297e-21,-3.51354e-22
-1.45412e-22,-1.20309e-20,-1.06884e-22
-2.43028e-22,-2.21669e-20,2.03256e-22
-1.98812e-22,-1.75481e-20,3.88514e-22
-3.85683e-23,-5.56578e-23,3.35067e-22
1.44184e-22,1.91271e-20,7.57535e-23
2.4279e-22,2.65633e-20,-2.30104e-22
1.99703e-22,1.58738e-20,-3.94584e-22
4.00675e-23,-7.07552e-21,-3.1663e-22
-1.42951e-22,-2.71756e-20,-4.41365e-23
-2.42543e-22,-2.99111e-20,2.55474e-22
-2.00585e-22,-1.17044e-20,3.9812e-22
-4.15652e-23,1.65164e-20,2.96159e-22
1.41713e-22,3.5694e-20,1.22361e-23
2.42286e-22,3.13824e-20,-2.79205e-22
2.0146e-22,4.42065e-21,-3.99101e-22
4.30613e-23,-2.82188e-20,-2.73787e-22
-1.40469e-22,-4.39376e-20,1.97428e-23
-2.4202e-22,-2.99979e-20,3.01143e-22
-2.02328e-22,6.5193e-21,3.97519e-22
-4.45558e-23,4.1862e-20,2.49657e-22
1.39219e-22,5.08692e-20,-5.1595e-23
2.41745e-22,2.46714e-20,-3.21147e-22
2.03187e-22,-2.14853e-20,-3.93385e-22
4.60486e-23,-5.67697e-20,-2.23925e-22
-1.37965e-22,-5.51468e-20,8.31159e-23
-2.41461e-22,-1.42839e-20,3.3909e-22
-2.04039e-22,4.05595e-20,3.86725e-22
-4.75396e-23,7.1831e-20,1.96754e-22
1.36705e-22,5.51413e-20,-1.14103e-22
2.41167e-22,-2.20633e-21,-3.54855e-22
2.04884e-22,-6.34023e-20,-3.77582e-22
4.90288e-23,-8.54354e-20,-1.68321e-22
-1.35439e-22,-4.8993e-20,1.44358e-22
