Analytical,RK2,LeapFrog
0.00106414,-1.7641,0.000372311
0.00223312,9.55636,5.97731e-05
0.00299474,15.1729,0.00123319
0.00290453,10.5664,0.00317162
0.00201512,-1.96305,0.00468407
0.000845579,-14.2825,0.00484129
7.84607e-05,-17.6403,0.00354668
0.000161456,-8.81087,0.00159565
0.00104613,7.09786,0.000186938
0.00221618,19.4782,0.000186051
0.00298876,19.2223,0.00159354
0.00291299,5.31896,0.00354463
0.00203309,-13.6654,0.00484057
0.00086257,-24.7545,0.00468512
8.45551e-05,-19.3436,0.00317379
0.000153097,0.289373,0.00123515
0.00102819,21.5712,6.03161e-05
0.00219914,29.5733,0.000371104
0.00298255,17.3708,0.00197657
0.00292124,-8.29429,0.0038903
0.00205098,-30.5016,0.0049365
0.000879663,-33.1847,0.00447237
9.08708e-05,-12.5993,0.00278308
0.00014495,18.86,0.00090653
0.00101034,39.9217,-4.3073e-06
0.00218199,34.6765,0.000610186
0.00297613,4.35946,0.00237246
0.00292928,-31.9076,0.00419977
0.0020688,-48.9807,0.0049694
0.000896856,-32.9476,0.00420849
9.74067e-05,7.95233,0.00238454
0.000137014,47.0767,0.000618207
0.000992563,56.5275,-5.27546e-06
0.00216475,26.8058,0.000897167
0.00296948,-24.7192,0.00277107
0.00293711,-63.5852,0.0044651
0.00208653,-61.0503,0.00493843
0.000914146,-15.0038,0.00390025
0.000104162,46.0236,0.00198842
0.000129292,80.191,0.000377578
0.00097487,60.7463,5.74364e-05
0.00214741,-3.58812,0.00122469
0.00296262,-71.4497,0.00316217
0.00294473,-95.0725,0.00467948
0.00210419,-53.5382,0.00484438
0.000931532,29.8637,0.00355555
0.000111135,99.9708,0.00160485
0.000121784,105.838,0.000190813
0.000957262,37.2444,0.00018222
0.00212998,-64.2197,0.00158436
0.00295554,-129.741,0.00353574
0.00295213,-109.486,0.00483743
0.00212175,-9.71813,0.00468966
0.000949009,106.355,0.00318323
0.000118326,158.001,0.00124368
0.000114491,102.535,6.26991e-05
0.000939742,-30.8397,0.000365877
0.00211246,-154.941,0.00196694
