Analytical,RK2,LeapFrog,Boost-RKF,BOOST-Dopri5
1.6633e-22,1.6633e-22,1.66333e-22,6.4729e-23,-1.24581e-22
1.67012e-22,1.67012e-22,1.67015e-22,4.59501e-23,-1.41878e-22
1.67692e-22,1.67692e-22,1.67694e-22,2.6889e-23,-1.58718e-22
1.68369e-22,1.68369e-22,1.68371e-22,7.66284e-24,-1.7437e-22
1.69043e-22,1.69044e-22,1.69046e-22,-1.16104e-23,-1.89604e-22
1.69716e-22,1.69716e-22,1.69718e-22,-3.08124e-23,-2.03226e-22
1.70386e-22,1.70386e-22,1.70388e-22,-4.98251e-23,-2.15842e-22
1.71053e-22,1.71053e-22,1.71056e-22,-6.85319e-23,-2.26701e-22
1.71718e-22,1.71718e-22,1.71721e-22,-8.68178e-23,-2.35504e-22
1.72381e-22,1.72381e-22,1.72384e-22,-1.04571e-22,-2.41675e-22
1.73041e-22,1.73041e-22,1.73044e-22,-1.21681e-22,-2.45146e-22
1.73699e-22,1.73699e-22,1.73701e-22,-1.38045e-22,-2.45878e-22
1.74354e-22,1.74354e-22,1.74357e-22,-1.5356e-22,-2.43862e-22
1.75007e-22,1.75007e-22,1.75009e-22,-1.68133e-22,-2.39858e-22
1.75657e-22,1.75657e-22,1.7566e-22,-1.81673e-22,-2.33799e-22
1.76305e-22,1.76305e-22,1.76308e-22,-1.94098e-22,-2.25736e-22
1.7695e-22,1.7695e-22,1.76953e-22,-2.0533e-22,-2.15739e-22
1.77593e-22,1.77593e-22,1.77596e-22,-2.15302e-22,-2.03894e-22
1.78233e-22,1.78233e-22,1.78236e-22,-2.23952e-22,-1.90301e-22
1.78871e-22,1.78871e-22,1.78874e-22,-2.31226e-22,-1.75078e-22
1.79506e-22,1.79506e-22,1.79509e-22,-2.3708e-22,-1.60563e-22
1.80138e-22,1.80139e-22,1.80141e-22,-2.41479e-22,-1.45e-22
1.80768e-22,1.80769e-22,1.80771e-22,-2.44394e-22,-1.2849e-22
1.81396e-22,1.81396e-22,1.81399e-22,-2.45809e-22,-1.11143e-22
1.82021e-22,1.82021e-22,1.82024e-22,-2.45714e-22,-9.30693e-23
1.82643e-22,1.82643e-22,1.82646e-22,-2.44111e-22,-7.6395e-23
1.83263e-22,1.83263e-22,1.83266e-22,-2.41008e-22,-5.93222e-23
1.8388e-22,1.8388e-22,1.83883e-22,-2.36425e-22,-4.19399e-23
1.84494e-22,1.84495e-22,1.84497e-22,-2.30391e-22,-2.4339e-23
1.85106e-22,1.85107e-22,1.85109e-22,-2.22941e-22,-8.86064e-24
1.85715e-22,1.85716e-22,1.85719e-22,-2.14123e-22,6.65292e-24
1.86322e-22,1.86322e-22,1.86325e-22,-2.03989e-22,2.214e-23
1.86926e-22,1.86926e-22,1.86929e-22,-1.92603e-22,3.7539e-23
1.87527e-22,1.87528e-22,1.8753e-22,-1.80035e-22,5.27887e-23
1.88126e-22,1.88126e-22,1.88129e-22,-1.6636e-22,6.92909e-23
1.88722e-22,1.88722e-22,1.88725e-22,-1.51664e-22,8.54606e-23
1.89315e-22,1.89316e-22,1.89318e-22,-1.36037e-22,1.01783e-22
1.89906e-22,1.89906e-22,1.89909e-22,-1.19574e-22,1.1758e-22
1.90494e-22,1.90494e-22,1.90497e-22,-1.02377e-22,1.33437e-22
1.91079e-22,1.91079e-22,1.91082e-22,-8.45514e-23,1.48543e-22
1.91661e-22,1.91662e-22,1.91664e-22,-6.62065e-23,1.63406e-22
1.92241e-22,1.92241e-22,1.92244e-22,-4.7455e-23,1.77269e-22
1.92818e-22,1.92818e-22,1.92821e-22,-2.84121e-23,1.90526e-22
1.93392e-22,1.93393e-22,1.93395e-22,-9.19475e-24,2.02525e-22
1.93964e-22,1.93964e-22,1.93967e-22,1.00791e-23,2.13547e-22
1.94533e-22,1.94533e-22,1.94536e-22,2.9291e-23,2.23054e-22
1.95099e-22,1.95099e-22,1.95102e-22,4.83231e-23,2.31222e-22
1.95662e-22,1.95662e-22,1.95665e-22,6.70584e-23,2.37638e-22
1.96222e-22,1.96223e-22,1.96225e-22,8.5382e-23,2.42253e-22
1.9678e-22,1.9678e-22,1.96783e-22,1.03181e-22,2.4512e-22
1.97335e-22,1.97335e-22,1.97338e-22,1.20347e-22,2.45943e-22
1.97887e-22,1.97887e-22,1.9789e-22,1.36773e-22,2.44716e-22
1.98436e-22,1.98436e-22,1.98439e-22,1.5236e-22,2.41235e-22
1.98982e-22,1.98983e-22,1.98986e-22,1.67011e-22,2.3554e-22
1.99526e-22,1.99526e-22,1.99529e-22,1.80636e-22,2.27375e-22
2.00067e-22,2.00067e-22,2.0007e-22,1.93152e-22,2.16976e-22
2.00605e-22,2.00605e-22,2.00608e-22,2.04482e-22,2.03939e-22
2.0114e-22,2.0114e-22,2.01143e-22,2.14557e-22,1.88747e-22
2.01672e-22,2.01672e-22,2.01675e-22,2.23313e-22,1.71559e-22
2.02201e-22,2.02202e-22,2.02205e-22,2.30699e-22,1.52559e-22
2.02728e-22,2.02728e-22,2.02731e-22,2.36668e-22,1.31946e-22
2.03251e-22,2.03252e-22,2.03255e-22,2.41183e-22,1.13457e-22
2.03772e-22,2.03772e-22,2.03775e-22,2.44217e-22,9.41137e-23
2.0429e-22,2.0429e-22,2.04293e-22,2.45752e-22,7.40619e-23
2.04805e-22,2.04805e-22,2.04808e-22,2.45777e-22,5.34525e-23
2.05317e-22,2.05317e-22,2.0532e-22,2.44293e-22,3.59143e-23
2.05826e-22,2.05826e-22,2.05829e-22,2.41309e-22,1.81873e-23
2.06332e-22,2.06332e-22,2.06335e-22,2.36843e-22,2.4399e-24
