Analytical,RK2,LeapFrog
2.27487e-23,1.93295e-21,-3.12867e-22
-1.56792e-22,3.79349e-21,-3.95457e-22
-2.44828e-22,3.14087e-21,-2.35076e-22
-1.89981e-22,2.00477e-22,6.9737e-23
-2.42605e-23,-3.15951e-21,3.31703e-22
1.55619e-22,-4.59719e-21,3.89869e-22
2.44678e-22,-2.91217e-21,2.08498e-22
1.90942e-22,9.95966e-22,-1.00976e-22
2.57714e-23,4.567e-21,-3.4841e-22
-1.54439e-22,5.23806e-21,-3.81778e-22
-2.44519e-22,2.25982e-21,-1.8058e-22
-1.91896e-22,-2.6012e-21,1.31567e-22
-2.72813e-23,-6.07729e-21,3.62879e-22
1.53255e-22,-5.57398e-21,3.71236e-22
2.4435e-22,-1.07245e-21,1.51504e-22
1.92842e-22,4.61404e-21,-1.61313e-22
2.87901e-23,7.56684e-21,-3.75019e-22
-1.52064e-22,5.4351e-21,-3.58311e-22
-2.44172e-22,-7.50112e-22,-1.21454e-22
-1.93781e-22,-6.98738e-21,1.90024e-22
-3.02979e-23,-8.86077e-21,3.84751e-22
1.50867e-22,-4.63063e-21,3.43084e-22
2.43985e-22,3.28081e-21,9.06254e-23
1.94713e-22,9.61351e-21,-2.17514e-22
3.18045e-23,9.73e-21,-3.92012e-22
-1.49665e-22,2.96107e-21,-3.25656e-22
-2.43789e-22,-6.54542e-21,-5.92145e-23
-1.95637e-22,-1.23098e-20,2.43608e-22
-3.33098e-23,-9.89328e-21,3.96757e-22
1.48457e-22,-2.36538e-22,3.06136e-22
2.43583e-22,1.04992e-20,2.74233e-23
1.96553e-22,1.48065e-20,-2.68138e-22
3.4814e-23,9.02575e-21,-3.98954e-22
-1.47243e-22,-3.69779e-21,-2.84651e-22
-2.43368e-22,-1.50012e-20,4.54385e-24
-1.97463e-22,-1.67388e-20,2.90947e-22
-3.63167e-23,-6.77628e-21,3.9859e-22
1.46024e-22,8.92931e-21,2.61338e-22
2.43144e-22,1.97882e-20,-3.64819e-23
1.98364e-22,1.76464e-20,-3.11887e-22
3.78182e-23,2.7951e-21,-3.95667e-22
-1.44799e-22,-1.54389e-20,-2.36347e-22
-2.42911e-22,-2.44509e-20,6.81857e-23
-1.99258e-22,-1.69832e-20,3.30825e-22
-3.93181e-23,3.22666e-21,3.90203e-22
1.43568e-22,2.30568e-20,2.09839e-22
2.42668e-22,2.84162e-20,-9.94517e-23
2.00145e-22,1.41406e-20,-3.47639e-22
4.08166e-23,-1.15048e-20,-3.82235e-22
-1.42333e-22,-3.14161e-20,-1.81984e-22
-2.42416e-22,-3.09394e-20,1.30079e-22
-2.01024e-22,-8.48852e-21,3.62221e-22
-4.23135e-23,2.20976e-20,3.71812e-22
1.41091e-22,3.99079e-20,1.5296e-22
2.42154e-22,3.11132e-20,-1.59871e-22
2.01895e-22,-5.63907e-22,-3.74477e-22
4.38088e-23,-3.48308e-20,-3.59002e-22
-1.39845e-22,-4.76442e-20,-1.22954e-22
-2.41884e-22,-2.78977e-20,1.88637e-22
-2.02759e-22,1.34857e-20,3.84329e-22
-4.53024e-23,4.92161e-20,3.43887e-22
1.38593e-22,5.34353e-20,9.21586e-23
